Year,cum_miles
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,34.0
1705,34.0
1706,34.0
1707,34.0
1708,34.0
1709,34.0
1710,44.0
1711,44.0
1712,44.0
1713,44.0
1714,44.0
1715,44.0
1716,44.0
1717,44.0
1718,44.0
1719,44.0
1720,44.5
1721,44.5
1722,44.5
1723,44.5
1724,44.5
1725,44.5
1726,44.5
1727,131.0
1728,131.0
1729,131.0
1730,131.0
1731,131.0
1732,202.0
1733,202.0
1734,202.0
1735,202.0
1736,202.0
1737,202.0
1738,202.0
1739,202.0
1740,202.0
1741,202.0
1742,202.0
1743,202.0
1744,202.5
1745,202.5
1746,202.5
1747,202.5
1748,202.5
1749,202.5
1750,202.5
1751,202.5
1752,202.5
1753,202.5
1754,202.5
1755,202.5
1756,202.5
1757,217.7
1758,217.7
1759,217.7
1760,217.7
1761,264.7
1762,264.7
1763,264.7
1764,264.7
1765,264.7
1766,266.7
1767,283.2
1768,284.2
1769,335.1
1770,357.20000000000005
1771,364.50000000000006
1772,410.6000000000001
1773,413.1000000000001
1774,494.6000000000001
1775,494.6000000000001
1776,503.6000000000001
1777,642.5000000000001
1778,642.5000000000001
1779,688.1000000000001
1780,691.9000000000001
1781,691.9000000000001
1782,701.9000000000001
1783,701.9000000000001
1784,701.9000000000001
1785,711.5000000000001
1786,717.5000000000001
1787,717.5000000000001
1788,720.7500000000001
1789,771.5500000000001
1790,771.5500000000001
1791,782.0500000000001
1792,789.2500000000001
1793,823.6500000000001
1794,1040.3500000000001
1795,1041.6000000000001
1796,1085.0500000000002
1797,1270.3000000000002
1798,1304.3000000000002
1799,1320.0500000000002
1800,1486.7000000000003
1801,1487.3000000000002
1802,1613.2000000000003
1803,1617.2000000000003
1804,1676.0000000000002
1805,1695.0500000000002
1806,1695.0500000000002
1807,1743.0500000000002
1808,1789.3500000000001
1809,1798.6000000000001
1810,1855.1000000000001
1811,1888.0000000000002
1812,1910.0000000000002
1813,1910.0000000000002
1814,1934.3000000000002
1815,1965.8000000000002
1816,2131.4
1817,2132.65
1818,2142.15
1819,2142.15
1820,2150.75
1821,2184.75
1822,2190.65
1823,2253.65
1824,2260.15
1825,2262.9500000000003
1826,2290.2500000000005
1827,2310.7500000000005
1828,2318.5000000000005
1829,2318.6000000000004
1830,2319.9000000000005
1831,2346.2000000000007
1832,2346.8000000000006
1833,2346.8000000000006
1834,2360.8000000000006
1835,2437.3000000000006
1836,2437.3000000000006
1837,2437.3000000000006
1838,2447.8000000000006
1839,2447.8000000000006
1840,2451.100000000001
1841,2451.100000000001
1842,2464.600000000001
1843,2465.2000000000007
1844,2476.2000000000007
1845,2479.600000000001
1846,2479.600000000001
1847,2481.850000000001
1848,2481.850000000001
1849,2481.850000000001
1850,2481.850000000001
1851,2481.850000000001
1852,2481.850000000001
1853,2481.850000000001
1854,2481.850000000001
1855,2483.600000000001
1856,2483.600000000001
1857,2483.600000000001
1858,2483.600000000001
1859,2483.600000000001
1860,2487.600000000001
1861,2487.600000000001
1862,2487.600000000001
1863,2487.600000000001
1864,2487.600000000001
1865,2487.600000000001
1866,2487.600000000001
1867,2487.600000000001
1868,2487.600000000001
1869,2487.600000000001
1870,2487.600000000001
1871,2487.600000000001
1872,2487.600000000001
1873,2487.600000000001
1874,2487.600000000001
1875,2487.600000000001
1876,2487.600000000001
1877,2487.600000000001
1878,2487.600000000001
1879,2487.600000000001
1880,2487.600000000001
1881,2487.600000000001
1882,2487.600000000001
1883,2487.600000000001
1884,2487.600000000001
1885,2487.600000000001
1886,2487.600000000001
1887,2487.600000000001
1888,2487.600000000001
1889,2487.600000000001
1890,2487.600000000001
1891,2487.600000000001
1892,2487.600000000001
1893,2487.600000000001
1894,2525.000000000001
1895,2525.000000000001
1896,2525.000000000001
1897,2525.000000000001
1898,2525.000000000001
1899,2525.000000000001
1900,2525.000000000001
