Year,fire engine,steam engine,coal barge,coal wharf,coal boat,coal trade,canal boat,coal waggon,coal cart,coal owner,sea coal,coal field,steam boat,steam power,water carriage,land carriage
1700,4.587657809196344e-09,9.445020765497247e-09,0.0,0.0,0.0,0.0,4.722510382748624e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8890041530994495e-08,9.445020765497247e-09
1701,3.670126247357075e-09,7.556016612397798e-09,0.0,0.0,0.0,0.0,3.778008306198899e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869331782700101e-08,1.1137301214603213e-08
1702,3.058438539464229e-09,6.296680510331498e-09,0.0,0.0,0.0,0.0,3.148340255165749e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5577764855834175e-08,9.281084345502677e-09
1703,2.6215187481121963e-09,5.397154723141284e-09,0.0,0.0,0.0,0.0,2.698577361570642e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3352369876429293e-08,7.955215153288009e-09
1704,0.0,5.397154723141284e-09,0.0,0.0,0.0,0.0,2.698577361570642e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3352369876429293e-08,7.955215153288009e-09
1705,2.5652797981073103e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5580604301467247e-09,2.5580604301467247e-09
1706,2.5652797981073103e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662064087427357e-09,2.5580604301467247e-09
1707,2.5652797981073103e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662064087427357e-09,2.5580604301467247e-09
1708,2.5652797981073103e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.740548861662578e-09,0.0
1709,2.5652797981073103e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.740548861662578e-09,0.0
1710,8.947414745616048e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,5.740548861662578e-09,3.191067473754369e-09
1711,8.947414745616048e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,5.740548861662578e-09,3.191067473754369e-09
1712,6.382134947508738e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,5.740548861662578e-09,3.191067473754369e-09
1713,6.382134947508738e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,2.636545204381946e-09,3.191067473754369e-09
1714,6.382134947508738e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,5.634774932364703e-09,3.191067473754369e-09
1715,6.382134947508738e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,2.9982297279827564e-09,3.191067473754369e-09
1716,6.382134947508738e-09,3.191067473754369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191067473754369e-09,0.0,0.0,5.4433372095478e-09,3.191067473754369e-09
1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4433372095478e-09,0.0
1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4433372095478e-09,0.0
1719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4433372095478e-09,0.0
1720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4433372095478e-09,0.0
