navigation,first_act,last_act,n_acts
ABERDARE CANAL,1793,1793,1
ABERDEENSHIRE CANAL,1796,1809,3
ADUR RIVER,1807,1807,1
ALFORD CANAL,1826,1826,1
ANCHOLME RIVER NAVIGATION,1767,1825,3
ANDOVER CANAL,1789,1789,1
ARUN RIVER NAVIGATION,1785,1785,1
ARUN RIVER,1793,1793,1
ASHBY.DE.LA-ZOUCH CANAL,1794,1794,1
ASHTON-UNDER-LYNE CANAL,1708,1805,5
AVON AND GLOUCESTERSHIRE RAILWAY,1828,1828,1
AXE RIVER,1802,1802,1
BALLOCHNEY RAILWAY,1826,1826,1
BARNSLEY CANAL,1793,1808,2
BASINGSTOKE CANAL,1778,1793,2
BAYBRIDGE CANAL,1825,1825,1
BERWICK AND KELSO RAILWAY,1811,1811,1
BIRMINGHAM CANAL NAVIGATIONS,1783,1811,5
CANAL,1827,1827,1
BLYTH RIVER,1757,1757,1
BORROWSTOWNESS CANAL,1783,1783,1
BRIDGEWATER'S (THE DUKE OF) CANAL,1705,1766,5
BUDE HARBOUR AND CANAL,1774,1819,2
RAILWAY,1826,1826,1
BURE OR NORTH RIVER,1773,1773,1
YARMOUTH HAVEN,1723,1773,3
"BURY, LOUGHOR AND LLIEDI RIVERS",1813,1813,1
CAISTOR CANAL,1793,1793,1
CALDER AND HEBBLE NAVIGATION,1758,1769,2
CAM OR GRANT RIVER,1703,1813,2
CANTERBURY NAVIGATION OR RIVER,1825,1825,1
CART RIVER,1753,1787,2
CHELMER AND BLACKWATER NAVIGATION,1766,1793,2
CHESTERFIELD CANAL,1771,1771,1
"COOMBE HILL CANAL,",1793,1793,1
COVENTRY CANAL,1819,1819,1
CRINAN CANAL,1793,1799,2
CROMFORD CANAL,1790,1790,1
CROYDON CANAL,1801,1811,3
DANE RIVER,1730,1730,1
DEARNE AND DOVE CANAL,1793,1800,2
DEE RIVER,1734,1791,3
DERWENT RIVER,1701,1701,1
DORSET AND SOMERSET .CANAL,1706,1803,2
DRIFFIELD NAVIGATION,1767,1817,3
DROITWICH CANAL-,1768,1768,1
DUDLEY CANAL,1785,1793,3
DUNDEE AND NEWTYLE RAILWAY,1826,1830,2
EDEN RIVER,1721,1721,1
EDINBURGH AND DALKEITH RAILWAY,1826,1830,2
ELLESMERE AND CHESTER CANAL,1778,1830,4
EREWASH CANAL,1777,1777,1
FOSS NAVIGATION,1801,1801,1
GARNKIRK AND GLASGOW RAILWAY,1826,1830,3
GRAND JUNCTION CANAL,1801,1819,4
GRAND SURREY CANAL,1801,1811,3
GRAND WESTERN CANAL,1796,1812,3
GRANTHAM CANAL,1797,1797,1
HAY RAILWAY,1811,1813,2
HEDON HAVEN,1774,1774,1
HEREFORD AND GLOUCESTER CANAL,1791,1798,2
HUDDERSFIELD CANAL,1806,1806,1
ITCHIN NAVIGATION,1811,1811,1
KENNET RIVER,1720,1730,2
KENSINGTON CANAL,1826,1826,1
LANCASTER CANAL,1711,1800,3
LARKE RIVER,1817,1817,1
LEA RIVER,1805,1805,1
LEEDS AND LIVERPOOL CANAL,1819,1819,1
LEEDS AND SELBY RAILWAY,1830,1830,1
LEICESTER NAVIGATION,1791,1797,2
UNION CANAL,1806,1806,1
LEVEN CANAL,1805,1805,1
LIVERPOOL AND MANCHESTER RAILWAY,1820,1820,1
LIVERPOOL DOCKS AND HARBOUR,1710,1825,5
LLANFIHANGEL RAILWAY,1811,1811,1
LOYNE OR LUNE RIVER,1749,1789,2
MAMHILAD RAILWAY,1814,1814,1
"MANCHESTER, BOLTON AND BURY CANAL",1791,1791,1
MANCHESTER AND OLDHAM RAILWAY,1826,1826,1
MANSFIELD AND PINXTON RAILWAY,1817,1817,1
MERSEY AND IRWELL NAVIGATION,1790,1794,2
MONMOUTHSHIRE CANAL,1797,1802,2
MONTGOMERYSHIRE CANAL,1794,1821,2
NANTLLE RAILWAY,1825,1827,2
NEATH CANAL NAVIGATION,1791,1798,2
"NYNE OR NEN RIVER, BEDFORD LEVEL",1754,1754,1
NEWCASTLE-UNDER-LYNE CANAL,1795,1795,1
NEWPORT PAGNELL CANAL,1814,1814,1
NITH OR NIDD RIVER NAVIGATION,1811,1811,1
NORTH WALSHAM AND DILHAM CANAL,1812,1812,1
NORTH WILTS CANAL,1813,1813,1
NOTTINGHAM CANAL,1793,1793,1
NUTBROOK OR SHIPLEY CANAL,1793,1793,1
"OUSE RIVER, SUSSEX",1700,1814,3
"OUSE RIVER, YORK",1707,1737,2
"OUSE RIVER, BEDFORD LEVEL",1781,1819,4
OYSTERMOUTH RAILWAY,1804,1804,1
PEAK FOREST CANAL,1794,1805,3
PENCLAWDD CANAL,1811,1811,1
PLYMOUTH AND DARTMOOR RAILWAY,1819,1821,3
POLBROCK CANAL,1797,1797,1
POLLOC AND GOVAN RAILWAY,1830,1830,1
PORTLAND RAILWAY,1825,1825,1
PORTSMOUTH AND ARUNDEL CANAL,1817,1831,2
RAMSDEN'S (SIR JOHN) CANAL,1774,1774,1
REGENT'S CANAL,1812,1821,4
RIBBLE RIVER,1806,1806,1
ROCHDALE CANAL,1807,1807,1
RODON RIVER,1737,1737,1
ROTHER RIVER,1791,1791,1
RUMNEY RAILWAY,1825,1825,1
SAINT COLUMB CANAL,1773,1773,1
SAINT HELEN'S AND RUNCORN GAP RAILWAY,1830,1830,1
SALISBURY AND SOUTHAMPTON CANAL,1705,1705,1
SANKEY BROOK NAVIGATION,1702,1755,2
SEVERN AND WYE RAILWAY AND CANAL,1814,1814,1
SHEFFIELD CANAL,1815,1815,1
SHREWSBURY CANAL,1798,1798,1
SHROPSHIRE CANAL,1788,1788,1
SOAR RIVER OR LOUGHBOROUGH,1716,1716,1
SOMERSETSHIRE COAL CANAL,1704,1808,2
SPITTAL AND KELSO RAILWAY,1811,1811,1
STAINFORTH AND KEADBY CANAL,1793,1793,1
"STORT RIVER,",1750,1766,2
