Year,coal_by_water,coal_by_steam,fire_engine,steam_engine,canal
1700,0.006073378545145174,0.0017529782742422232,4.587657809196344e-09,9.445020765497247e-09,2.817339650462714e-07
1701,0.004858702836116139,0.0014023826193937784,3.670126247357075e-09,7.556016612397798e-09,2.3569331517592217e-07
1702,0.0040489190300967825,0.0011686521828281487,3.058438539464229e-09,6.296680510331498e-09,1.99358129412038e-07
1703,0.003470502025797242,0.001001701870995556,2.6215187481121963e-09,5.397154723141284e-09,1.733089859560063e-07
1704,0.003470502025797242,0.001001701870995556,0.0,5.397154723141284e-09,9.430612659043295e-08
1705,0.0,0.0,2.5652797981073103e-09,0.0,7.134750009843825e-08
1706,0.0,0.0,2.5652797981073103e-09,0.0,8.313418398131489e-08
1707,0.0,0.0,2.5652797981073103e-09,0.0,8.476106952822908e-08
1708,0.0,0.0,2.5652797981073103e-09,0.0,8.746141461862017e-08
1709,0.0,0.0,2.5652797981073103e-09,0.0,9.72922032462163e-08
1710,0.0,0.0005922561836567786,8.947414745616048e-09,3.1910674737543692e-09,9.78825670675373e-08
1711,0.0,0.0005922561836567786,8.947414745616048e-09,3.1910674737543692e-09,1.0748891808378045e-07
1712,0.0,0.0005922561836567786,6.3821349475087385e-09,3.1910674737543692e-09,5.7720913255414943e-08
1713,0.0,0.0005922561836567786,6.3821349475087385e-09,3.1910674737543692e-09,5.068077259449767e-08
1714,0.0,0.0005922561836567786,6.3821349475087385e-09,3.1910674737543692e-09,5.573190112581219e-08
1715,0.0,0.0005922561836567786,6.3821349475087385e-09,3.1910674737543692e-09,8.115953166663662e-08
1716,0.0,0.0005922561836567786,6.3821349475087385e-09,3.1910674737543692e-09,8.276271909072162e-08
1717,0.0,0.0,0.0,0.0,8.916036315602989e-08
1718,0.0,0.0,0.0,0.0,1.3254620816789092e-07
1719,0.0,0.0,0.0,0.0,1.3175129863286982e-07
1720,0.0,0.0,0.0,0.0,1.9186643791207253e-07
1721,0.0,0.0,0.0,0.0,2.546986327242199e-07
1722,0.0,0.0,0.0,0.0,3.157587532395415e-07
1723,0.0,0.0,0.0,0.0,3.732285703352188e-07
1724,0.0,0.0,0.0,0.0,4.248704184663309e-07
1725,0.0,0.0,0.0,0.0,5.018033490955531e-07
1726,0.0,0.0,0.0,0.0,6.884619462458172e-07
1727,0.0,0.0,1.6441826947552076e-09,0.0,6.995660279634259e-07
1728,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,7.484456594803695e-07
1729,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,8.953022156025067e-07
1730,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,1.437185273646589e-06
1731,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,1.4821080510176086e-06
1732,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,1.496135374574286e-06
1733,0.0,0.0011335754719124325,1.6441826947552076e-09,0.0,1.5175119106710814e-06
1734,0.0,0.0015567513583293628,3.028610759007019e-09,0.0,1.6259479025393375e-06
1735,0.0,0.0004231758864169301,3.028610759007019e-09,0.0,1.734392461522865e-06
1736,0.0,0.0004231758864169301,7.510199700228831e-09,0.0,2.088956567344472e-06
1737,0.0,0.0004231758864169301,7.510199700228831e-09,0.0,1.7887321389155529e-06
1738,0.0,0.0006272625489826484,1.0809047371448549e-08,1.0996158904065722e-09,2.145281866562852e-06
1739,0.0,0.0006272625489826484,1.0809047371448549e-08,1.0996158904065722e-09,2.286128879599606e-06
1740,0.0,0.0006272625489826484,1.3961914798902138e-08,1.0996158904065722e-09,3.0159672763017753e-06
1741,0.0,0.001196926142317361,1.0933304039895121e-08,4.151462158168735e-09,3.0975265872257296e-06
1742,0.0,0.001196926142317361,1.0933304039895121e-08,4.151462158168735e-09,3.744100597811796e-06
1743,0.0,0.001196926142317361,6.451715098673308e-09,4.151462158168735e-09,3.5159997163905895e-06
1744,0.0,0.001196926142317361,2.3105360926121776e-08,4.151462158168735e-09,3.742031399919402e-06
1745,0.0,0.0009928394797516428,2.6502302067196333e-08,3.0518462677621622e-09,3.848475411619542e-06
1746,0.0,0.0009928394797516428,3.6319552318023595e-08,3.0518462677621622e-09,4.015673247132716e-06
1747,0.0,0.0012468292336728828,4.6851615158922354e-08,4.420339269220871e-09,3.459615397462455e-06
