canal,miles,year,region
Aire and Calder Navigation,34.0,1704,NE
Andover Canal,22.0,1794,S
Arbury Canals,6.0,1786,
Ashby-de-la-Zouch Canal,22.0,1804,M
Ashton Canal,6.0,1796,NW
Barnsley Canal,14.5,1799,NW
Basingstoke Canal,32.0,1794,S
Baybridge Canal,3.5,1826,
Beaumont Cut,0.6,1832,
Bentley Canal,3.4,1845,
Beverley Beck,0.5,1744,NE
Birmingham and Warwick Junction Canal,2.5,1844,M
Birmingham Canal Navigations,29.8,1794,M
Birmingham and Fazeley Canal,20.5,1789,M
Black Bear Canal,8.0,1804,
Blyth Navigation,7.0,1761,EA
Bradford Canal,3.5,1774,
Bridgewater Canal,40.0,1761,NW
"Bridgwater and Taunton Canal, Somerset",14.5,1827,SW
Bude Canal,35.0,1823,SW
Caistor Canal,4.0,1793,N
Calder and Hebble Navigation,21.5,1794,NE
Caldon Canal,18.0,1779,NM
Cann Quarry Canal,2.0,1825,
Chard Canal,13.5,1842,
Charnwood Forest Canal,6.0,1794,
Chelmer and Blackwater Navigation,13.8,1797,EA
Chesterfield Canal,45.5,1777,NE
Chichester Canal,4.5,1822,S
Cinderford Canal,1.25,1797,
City Canal,1.0,1805,
Coombe Hill Canal,2.75,1796,
Coventry Canal,32.7,1769,M
Cromford Canal,14.5,1794,
Croydon Canal,9.25,1809,SE
Dearne and Dove Canal,9.8,1804,NE
Derby Canal,14.0,1796,NE
Derby and Sandiacre Canal Trust,14.5,1793,NE
Digbeth Branch Canal,1.25,1799,M
Donnington Wood Canal,5.5,1767,
"Driffield Navigation, East Yorkshire",11.0,1767,NE
Droitwich Canal,7.3,1771,M
Dudley Canal,10.3,1770,M
Eardington,0.5,1782,
Erewash Canal,11.8,1779,NE
Exeter Ship Canal,5.2,1563,SW
Fairbottom Branch Canal,1.0,1792,NW
Fletcher's Canal,1.5,1800,
Galton's Canal,1.4,1822,
Glastonbury Canal,14.0,1834,
Gloucester and Sharpness Canal,16.5,1826,SW
Grand Junction Canal,129.4,1800,M
Grand Surrey Canal,4.0,1810,
Grand Union Canal,286.3,1927,M
Grand Union Canal (old),24.3,1814,EM
Grand Western Canal,10.5,1838,SW
Grantham Canal,33.0,1797,EM
Grosvenor Canal,0.8,1825,
Hackney Canal,0.6,1843,
Hatherton Canal,4.0,1860,NM
Herefordshire and Gloucestershire Canal,34.0,1798,W
Hertford Union Canal,1.3,1830,SE
Hollinwood Branch Canal,4.5,1792,NW
Horncastle Canal,11.0,1802,
Huddersfield Broad Canal,3.8,1780,NE
Huddersfield Narrow Canal,19.9,1811,NE
Ipswich and Stowmarket Navigation,15.9,1793,EA
Islington Branch Canal,0.6,1801,NW
Itchen Navigation,10.0,1710,
Kennet and Avon Canal,86.5,1727,SW
Kensington Canal,1.75,1828,
Ketley Canal,1.5,1788,
Lancaster Canal,60.9,1797,NW
Leeds and Liverpool Canal,142.6,1816,"NE, NW"
Leicestershire and Northamptonshire Union Canal,48.0,1807,EM
Leominster Canal,18.0,1794,
Leven Canal,3.25,1805,
Lichfield Canal,7.0,1797,M
Limehouse Cut,2.0,1766,SE
Liskeard and Looe Union Canal,6.0,1828,
Llangollen Canal,46.3,1808,W
Louth Navigation,11.8,1770,NE
Lydney Canal,1.0,1821,SW
Macclesfield Canal,26.3,1831,NW
"Manchester, Bolton and Bury Canal",12.9,1797,NW
Manchester Ship Canal,37.4,1894,NW
Market Weighton Canal,9.5,1782,NE
Melton Mowbray Navigation,11.0,1797,EM
Middle Level Navigations,90.0,1608,E
Montgomery Canal,33.0,1821,W
Newcastle-under-Lyme Canal,3.75,1800,
New Junction Canal,5.5,1905,NE
Newport Pagnell Canal,1.25,1817,
North Walsham and Dilham Canal,7.3,1826,EA
Nottingham Canal,14.7,1796,NE
Nutbrook Canal,4.5,1796,
Oakham Canal,15.5,1802,
Ouse Navigation,22.0,1812,
Oxford Canal,78.0,1774,M
Par Canal,2.25,1847,
Parnall's Canal,0.5,1720,
Peak Forest Canal,14.8,1805,NW
Petworth Canal,1.25,1795,
Pidcock's Canal,1.5,1789,
Pocklington Canal,9.5,1818,NE
Portsmouth and Arundel Canal,28.0,1823,
Regent's Canal,8.6,1820,SE
Ripon Canal,2.5,1773,NE
River Soar,21.9,1794,EM
River Lee Navigation,29.1,1577,SE
River Weaver,71.0,1732,NW
Rochdale Canal,32.0,1800,NW
Rolle Canal,6.0,1827,
Royal Military Canal,19.0,1804,SE
Salisbury and Southampton Canal,13.0,1802,
Sankey Canal,15.2,1757,NW
Selby Canal,6.0,1776,NE
Sheffield and South Yorkshire Navigation,28.0,1802,NE
Shrewsbury Canal,17.0,1797,W
Shropshire Canal,10.5,1791,
Shropshire Union Canal,76.5,1835,NM
Sir John Glynne's Canal,1.0,1768,
Sir Nigel Gresley's Canal,3.0,1776,
Sleaford Navigation,12.5,1794,NE
Somerset Coal Canal,18.0,1802,SW
Southwick Ship Canal,1.75,1855,SE
Staffordshire and Worcestershire Canal,46.1,1772,NM
Stamford Canal,6.5,1670,
Stainforth and Keadby Canal,14.9,1802,NE
Stockport Branch Canal,4.9,1797,NW
Stort Navigation,13.8,1769,SE
Stourbridge Canal,7.8,1779,M
Stover Canal,1.7,1792,
Stratford-upon-Avon Canal,25.5,1802,M
Stroudwater Navigation,8.0,1779,SW
Tame Valley Canal,8.5,1844,M
Tavistock Canal,4.0,1803,
Thames and Medway Canal,6.5,1824,SE
Thames and Severn Canal,28.8,1789,SW
Tremadog#Canal,1.5,1815,
Trent and Mersey Canal,93.4,1777,NE
Ulverston Canal,1.5,1796,NW
Uttoxeter Canal,13.0,1811,NM
Walsall Canal,9.6,1785,M
Wardle Canal,0.1,1829,NM
Warwick and Napton Canal,14.2,1794,M
Warwick and Birmingham Canal,24.3,1794,M
Wednesbury Old Canal,4.4,1769,M
Westport Canal,3.3,1840,
Wey and Arun Junction Canal,23.0,1816,S
Wey and Godalming Navigations,19.5,1651,S
Wilts and Berks Canal,52.5,1810,SW
Wombridge Canal,1.75,1788,
Worcester and Birmingham Canal,30.0,1815,M
Wyrley and Essington Canal,23.5,1797,M
