Year,GBR,NLD,FRA,BEL,SWE,DEU,ESP,PRT,POL,ITA,CHN,IND,JPN
1700,2412.0,3377.0053475935824,1757.9169542442246,2192.0,2002.0,1511.189116351264,1279.9640439795446,1572.1235984545,985.0,2467.0757455857265,1542.633,1162.0,1073.0
1701,2613.0,3745.989304812834,1776.4617571071435,2191.54,2043.0,1581.34787833609,1246.5871463130525,1790.6336903000001,991.0,2468.5172154925835,1528.9697,1160.12,1073.0119047619048
1702,2526.0,4270.944741532976,1708.6581713827588,2191.08,2045.0,1613.7688088066714,1181.965523200719,1706.92882633,998.0,2468.8563848824324,1515.3064,1158.24,1073.0238095238096
1703,2345.0,3342.2459893048126,1778.6198870372987,2190.62,1890.0,1631.2995012711813,1175.786413895235,1573.37159914025,991.0,2469.195554272281,1501.6431,1156.36,1073.0357142857142
1704,2778.0,3580.2139037433153,1907.8228117195767,2190.16,1897.0,1622.6595247555772,1205.888423097889,1540.1621209065,982.0,2469.5347236621296,1487.9798,1154.48,1073.047619047619
1705,2630.0,4224.598930481283,1848.7835358279258,2189.7,1879.0,1638.997713692669,1164.0632750849327,1654.5446344700001,983.0,2469.8738930519785,1474.3165000000001,1152.6,1073.0595238095239
1706,2220.0,3912.6559714795003,1961.0417870628494,2189.24,1884.0,1672.527135868643,1092.6554074762546,1697.9747928325,990.0,2470.213062441827,1460.6532,1150.72,1073.0714285714287
1707,2485.0,4073.9750445632794,1998.7807489556117,2188.78,1846.0,1678.0659424292953,1082.0803183949547,1615.5802474175,987.0,2470.5522318316757,1446.9899,1148.84,1073.0833333333333
1708,2636.0,3879.6791443850266,1796.769010636779,2188.32,1750.0,1662.5765295021747,1036.7606326557034,1585.72863537725,982.0,2470.8914012215246,1433.3266,1146.96,1073.095238095238
1709,2278.0,4131.016042780749,1301.2716320621582,2187.86,1824.0,1600.0949380314294,1079.2927176101232,1484.76989035375,974.0,2471.230570611373,1419.6633,1145.08,1073.107142857143
1710,2066.0,4221.925133689839,1504.3540529254185,2187.4,1913.0,1593.7854245435371,1043.0519590223441,1352.4047132732499,953.0,2471.569740001222,1406.0,1143.2,1073.1190476190477
1711,2255.0,3957.219251336898,1702.384443942168,2186.94,2024.0,1618.559224061374,1046.8212953312318,1267.54504888375,929.0,2471.9089093910707,1396.6,1141.32,1073.1309523809523
1712,2257.0,4064.171122994652,1654.9577141592988,2186.48,1991.0,1608.5339824989871,1082.5286817377362,1376.24611135375,910.0,2472.248078780919,1387.2,1139.44,1073.142857142857
1713,2157.0,4254.901960784313,1569.4812807033159,2186.02,2039.0,1612.9419626021156,1070.32118257364,1520.8297225485,896.0,2472.587248170768,1377.8,1137.56,1073.154761904762
1714,2364.0,4165.775401069518,1658.5327184646353,2185.56,1999.0,1633.608997750969,1125.3872348974724,1590.559734309,912.0,2472.9264175606168,1368.4,1135.68,1073.1666666666667
1715,2294.0,3793.2263814616754,1931.9984216197097,2185.1,1980.0,1663.1766037511402,1115.348244016069,1613.37466199,928.0,2473.2655869504656,1359.0,1133.8,1073.1785714285713
1716,2367.0,3406.417112299465,2068.1921846016144,2184.64,1749.0,1685.496120195368,1146.0420260382361,1624.01288686,937.0,2473.604756340314,1349.6,1131.92,1073.1904761904761
1717,2483.0,3663.1016042780743,2362.0159037367334,2184.18,1594.0,1678.1298255364966,1152.2209484661996,1758.1188183650002,948.0,2473.943925730163,1340.2,1130.04,1073.202380952381
1718,2606.0,3778.07486631016,1995.652597360633,2183.72,1433.0,1695.3597392194783,1149.1208533780512,1815.8223042050001,953.0,2474.2830951200117,1330.8,1128.16,1073.2142857142858
1719,2542.0,3451.8716577540104,1965.8260124541064,2183.26,1683.0,1682.0669689359775,1146.1722580750425,1775.9855138025,964.0,2474.62226450986,1321.4,1126.28,1073.2261904761904
1720,2715.0,3516.0427807486626,1859.1780049168067,2182.8,1921.0,1669.4391419951928,1195.590983338849,1849.8177217975,971.0,2474.961433899709,1312.0,1124.4,1073.2380952380952
1721,2611.0,3409.0909090909086,2055.803552159012,2182.34,1989.0,1720.5381399342143,1125.7249114613269,1774.6052860900002,980.0,2475.300603289558,1276.5,1122.52,1073.25
1722,2636.0,3397.5044563279853,1856.6219820556094,2181.88,1691.0,1746.1175203095925,1160.1884686319318,1674.4036827700002,995.0,2475.639772679406,1241.0,1120.64,1069.103448275862
1723,2563.0,3539.2156862745096,1792.989227109523,2181.42,1543.0,1750.8069469965963,1166.8516667385898,1841.1103968075,1006.0,2475.978942069255,1205.5,1118.76,1064.9568965517242
1724,2528.0,3591.8003565062386,1718.9617756009216,2180.96,1565.0,1730.01131316194,1151.57523380795,1816.4743103325002,1015.0,2476.318111459104,1170.0,1116.88,1060.8103448275863
1725,2585.0,3721.033868092691,1772.6028355026779,2180.5,1548.0,1706.8354380047265,1208.5034604388993,1977.7082643500003,1006.0,2476.6572808489523,1180.6666666666667,1115.0,1056.6637931034484
1726,2483.0,3817.29055258467,1753.237023384638,2180.04,1443.0,1681.1938906100916,1203.7059943896807,1941.2860264525,1004.0,2476.996450238801,1191.3333333333333,1113.12,1052.5172413793102
1727,2455.0,3762.032085561497,1879.8573743867685,2179.58,1564.0,1683.0835891284999,1218.3624045023876,1741.56368841,996.0,2477.33561962865,1202.0,1111.24,1048.3706896551723
1728,2554.0,3776.2923351158643,1896.1256942838027,2179.12,1806.0,1716.6834136862115,1158.4809678207978,1881.08709152,983.0,2477.6747890184984,1212.6666666666667,1109.36,1044.2241379310344
1729,2452.0,3960.78431372549,1892.0421490742287,2178.66,1867.0,1729.1093551985916,1174.901637459321,1948.5698077299999,977.0,2478.013958408347,1223.3333333333333,1107.48,1040.0775862068965
1730,2538.0,3693.404634581105,1885.088226651529,2178.2,1787.0,1758.081681445435,1277.3997772992727,1984.725172885,971.0,2478.353127798196,1234.0,1105.6,1035.9310344827586
1731,2499.0,3518.7165775401068,1898.2010008084962,2177.74,1742.0,1735.910133504426,1256.7939818159443,1954.6156623175002,958.0,2478.6922971880444,1226.4,1103.72,1031.7844827586207
1732,2654.0,3540.9982174688053,1957.0159045013365,2177.28,1723.0,1752.55301488601,1248.0577573197088,2078.5728110875,953.0,2479.0314665778933,1218.8,1101.84,1027.6379310344828
1733,2699.0,3523.1729055258465,2006.0575800293796,2176.82,1677.0,1771.7555314901517,1212.377808648125,1995.1835073625002,953.0,2479.370635967742,1211.2,1099.96,1023.4913793103449
1734,2662.0,3643.4937611408195,1947.6866461048066,2176.36,1702.0,1752.4832938981226,1155.500692220096,2137.8127823325,956.0,2479.7098053575905,1203.6,1098.08,1019.3448275862069
1735,2576.0,3639.0374331550797,1897.8805006724174,2175.9,1642.0,1737.3728749833513,1208.487228312781,2012.4029375450002,955.0,2480.0489747474394,1196.0,1096.2,1015.198275862069
1736,2745.0,3507.1301247771835,1866.6644995203917,2175.44,1635.0,1712.1391993019458,1198.8198422053024,1944.2086302275002,947.0,2480.3881441372882,1188.4,1094.32,1011.051724137931
1737,2582.0,3463.4581105169336,1864.1233169236727,2174.98,1747.0,1684.020507887075,1177.4236236271238,2126.791919525,940.0,2480.7273135271366,1180.8,1092.44,1006.9051724137931
1738,2619.0,3490.1960784313724,1838.4173894937219,2174.52,1782.0,1706.8041683495128,1260.1234313456305,2047.25756144,939.0,2481.0664829169855,1173.2,1090.56,1002.7586206896552
1739,2584.0,3491.978609625668,1766.1866168286922,2174.06,1575.0,1710.5718619627658,1200.1191001403192,1845.9903901075,934.0,2481.4056523068343,1165.6,1088.68,998.6120689655172
1740,2526.0,3465.2406417112297,1667.4412016560752,2173.6,1500.0,1653.3423174396435,1182.9265546960235,1889.410952065,931.0,2481.744821696683,1158.0,1086.8,994.4655172413793
1741,2595.0,3441.176470588235,1641.1106013863719,2173.14,1447.0,1626.2153065924413,1310.0023902531063,2000.1773246,931.0,2482.0839910865316,1148.325,1084.92,990.3189655172414
1742,2683.0,3650.623885918003,1789.5206822132739,2172.68,1473.0,1667.7042155755503,1399.7795982682842,2218.3398730675,947.0,2482.4231604763804,1138.65,1083.04,986.1724137931035
1743,2621.0,3701.4260249554363,1974.6588452119595,2172.22,1460.0,1713.0614729093522,1325.686694094653,2009.6225010225,999.0,2482.7623298662293,1128.975,1081.16,982.0258620689656
1744,2565.0,4132.798573975044,2044.984920577194,2171.76,1589.0,1726.3338157060066,1299.1494067092574,1972.091086875,1007.0,2483.1014992560777,1119.3,1079.28,977.8793103448276
1745,2577.0,3601.6042780748658,1925.057672044668,2171.3,1452.0,1737.3283329337198,1257.8299802885522,2033.3939969525,1015.0,2483.4406686459265,1109.625,1077.4,973.7327586206897
1746,2641.0,3976.827094474153,1856.569226013891,2170.84,1417.0,1688.7044082084785,1281.2157504046702,2028.649393225,1023.0,2483.7798380357754,1099.95,1075.52,969.5862068965517
1747,2750.0,4557.040998217469,1798.3673273418096,2170.38,1430.0,1720.1537223736525,1224.539468530661,2082.8576218450003,1039.0,2484.1190074256237,1090.275,1073.64,965.4396551724138
1748,2713.0,4393.048128342246,1696.9667193029575,2169.92,1371.0,1729.1713896733365,1287.1391748108772,2017.8246404225001,1054.0,2484.4581768154726,1080.6,1071.76,961.2931034482759
