Year,aqueduct,bank,barge,boiler,breast wheel,canal,canal navigation,coal,coal mine,colliery,corn mill,cotton,cotton mill,credit,crop,dam,divine,drainage,enclosure,engine,engineer,factory,flood,fulling mill,harvest,holy,horsepower,hydraulic,inland navigation,insurance,irrigation,linen,locomotive,loom,machine,mill,mill race,mill wheel,mine,navigable,navigation,overshot,patent,penstock,piston,pit,power,pump,rain,reservoir,river,sewer,sluice,spinning,spinning mill,steam,tillage,towpath,turbine,turnip,undershot,water,water engine,water frame,water mill,water power,water wheel,waterway,waterwheel,weaving,wool
1700,1.2710333230359083e-07,3.831407809684606e-06,1.737309176519375e-07,7.98389372391739e-08,0.0,2.8173396504627135e-07,4.573938561236446e-09,1.7760883395112614e-06,0.0,4.3204688715547945e-09,0.0,3.015673151196552e-07,0.0,1.6812031162771746e-05,1.3775754013067854e-06,5.406979994404537e-06,4.064161385031184e-05,3.1806950939738954e-07,2.0297803615676457e-07,6.818509845629706e-07,2.9314905836130833e-07,8.830028264128487e-07,6.13355132372817e-06,1.9099944736922225e-08,3.0892319955455605e-06,0.00014853573884465732,0.0,0.0,0.0,2.83969168179965e-06,2e-06,0.0,0.0,0.0,5e-06,3.5e-05,0.0,2.8448869038300018e-08,8.630726915725973e-05,9.69929168093131e-07,7.92928759096867e-07,1.3009117783013835e-08,9.188522653857945e-07,0.0,8.640937743109589e-09,6.7581705707198125e-06,0.0001562324323458597,5.65321457202117e-07,1.1386213145669899e-05,2.934346690075529e-07,9.193028645881895e-06,5.593937011383332e-07,0.0,1.0520688364934472e-07,0.0,2.311867377535748e-07,3.339740359820098e-07,0.0,3.9502871196361866e-08,4.899609740149913e-08,0.0,6.1576412008435e-05,0.0,0.0,0.0,4.573938561236446e-09,1.5e-06,5e-07,1e-07,0.0,0.0
1701,1.0168266584287267e-07,3.5357734304852784e-06,1.4585549621415339e-07,7.074191188394252e-08,0.0,2.3569331517592217e-07,3.6591508489891567e-09,1.7369257193422526e-06,0.0,3.4563750972438355e-09,0.0,2.549953762809309e-07,0.0,1.624946053198073e-05,1.2497817010626022e-06,5.077932428321219e-06,3.854925562336575e-05,2.5445560751791164e-07,2.0360700148103206e-07,6.038822675691335e-07,2.4139000878165005e-07,8.678651738591725e-07,5.992421483824728e-06,1.527995578953778e-08,3.017611197719816e-06,0.00014759647310711444,0.0,0.0,0.0,2.27175334543972e-06,2.04e-06,0.0,0.0,0.0,5.033333333333334e-06,3.51e-05,0.0,2.2759095230640013e-08,8.537074609193951e-05,8.996170492991951e-07,6.377783883237953e-07,1.0407294226411068e-08,8.072248135704285e-07,0.0,6.912750194487671e-09,6.945587210793747e-06,0.00015810989134479314,5.793662694486556e-07,1.0854144056793302e-05,2.347477352060423e-07,8.701092258434074e-06,4.4751496091066657e-07,0.0,9.790703110468258e-08,0.0,1.9525553334176494e-07,2.8779151506341805e-07,0.0,3.503767800339119e-08,3.9196877921199305e-08,0.0,6.070094823371619e-05,0.0,0.0,0.0,3.6591508489891567e-09,1.525e-06,5.1e-07,1.0399999999999999e-07,0.0,0.0
1702,8.473555486906055e-08,3.3413803445606996e-06,1.2744031370933348e-07,6.779269353292723e-08,0.0,1.9935812941203798e-07,3.0492923741576305e-09,1.6154190044896193e-06,0.0,2.8803125810365296e-09,0.0,2.2133724719708425e-07,0.0,1.533301337985904e-05,1.1416838863927599e-06,5.0567797416078974e-06,3.634747857480155e-05,2.120463395982597e-07,1.726195346662962e-07,5.356525913195279e-07,2.0115834065137506e-07,7.939497805864448e-07,6.455413085859618e-06,1.584744750241877e-08,3.1895466842494593e-06,0.00014634640683652833,0.0,0.0,0.0,1.8931277878664332e-06,2.08e-06,0.0,0.0,0.0,5.066666666666667e-06,3.5199999999999995e-05,0.0,1.896591269220001e-08,8.737454845686443e-05,9.088206761968346e-07,5.37376057134035e-07,8.67274518867589e-09,7.051047129872737e-07,0.0,5.760625162073059e-09,7.450116224087348e-06,0.00014923709750291891,5.741632567909013e-07,1.1057943841782011e-05,1.9562311267170193e-07,9.68810681456489e-06,3.7587616752432496e-07,0.0,9.043029288354394e-08,0.0,1.7155404474777924e-07,2.869787974664935e-07,0.0,3.803916529913446e-08,3.266406493433275e-08,0.0,6.017377017997205e-05,0.0,0.0,0.0,3.0492923741576305e-09,1.55e-06,5.2e-07,1.0799999999999999e-07,0.0,0.0
1703,7.506106491916853e-08,3.1289745265894453e-06,1.1409573324223337e-07,5.810802302822335e-08,0.0,1.733089859560063e-07,2.6136791778493975e-09,1.5936755387104183e-06,0.0,2.4688393551741683e-09,0.0,2.0673176592822529e-07,0.0,1.4734618941604691e-05,1.124421552438954e-06,4.920154651699704e-06,3.538177640751071e-05,1.8175400536993687e-07,1.5768195841100612e-07,4.7128373889141327e-07,1.7485202416115238e-07,7.412931170490213e-07,6.2818327413489376e-06,1.358352643064466e-08,3.0109843334815068e-06,0.00014403864666486958,0.0,0.0,0.0,1.6251115503454879e-06,2.12e-06,0.0,0.0,0.0,5.1e-06,3.53e-05,0.0,1.6256496593314296e-08,8.684124726901896e-05,8.081562238463189e-07,4.654692276062633e-07,7.43378159029362e-09,6.74862558217423e-07,0.0,4.937678710348337e-09,7.477148561260297e-06,0.00014050067277691727,5.213070072126616e-07,1.0649781610741879e-05,1.6767695371860164e-07,9.106186041663022e-06,3.221795721637071e-07,0.0,7.751167961446623e-08,0.0,1.519075027037583e-07,2.8730184352200793e-07,0.0,3.9896767032944676e-08,3.285894857794704e-08,0.0,5.727238801357869e-05,0.0,0.0,0.0,2.6136791778493975e-09,1.575e-06,5.3e-07,1.12e-07,0.0,0.0
1704,6.765454710741129e-08,2.7482925751038626e-06,8.3431760040347e-08,4.771371564515903e-08,0.0,9.430612659043294e-08,0.0,1.3257664477350772e-06,0.0,0.0,0.0,1.7477041477523665e-07,0.0,1.5114459009574993e-05,9.696860355948696e-07,5.054827040242214e-06,3.150858460035774e-05,1.7681632665958853e-07,1.3910270725757202e-07,3.796848570151009e-07,1.279440756515474e-07,6.905006963669231e-07,5.713683127136651e-06,1.358352643064466e-08,2.676683704651493e-06,0.00014344454393722117,0.0,0.0,0.0,1.548577530588854e-06,2.16e-06,0.0,0.0,0.0,5.133333333333334e-06,3.54e-05,0.0,1.5988787183118802e-08,8.007823739067785e-05,7.730811708890022e-07,9.163659342448227e-08,9.383670475569618e-09,6.093830121147091e-07,0.0,0.0,6.906434854110037e-06,0.0001312420333436291,4.932530828227755e-07,9.912900103310157e-06,1.6520811436342748e-07,8.271730109754571e-06,3.09835375134071e-07,0.0,8.557071115181511e-08,0.0,1.1214659753225728e-07,2.59106709929061e-07,0.0,3.937781656304651e-08,1.999580158594329e-08,0.0,5.622400411604238e-05,0.0,0.0,0.0,0.0,1.6e-06,5.4e-07,1.1599999999999999e-07,0.0,0.0
1705,4.95725441648379e-08,2.6228331729985906e-06,5.9225235763246276e-08,3.656428709015407e-08,0.0,7.134750009843824e-08,2.6100508421222912e-09,1.4824283068394704e-06,0.0,4.914946418109269e-09,0.0,2.7021034451227675e-07,0.0,1.3696242344199813e-05,1.0688696647775942e-06,5.060828341031863e-06,2.8055510483682156e-05,1.5067956025762086e-08,1.1713373483855451e-07,3.4785267238086295e-07,4.9821426476423114e-08,6.932930724750414e-07,5.15902232629222e-06,2.6692722952605307e-09,2.526754542486742e-06,0.00014204141916707158,0.0,4.914946418109269e-09,7.830152526366874e-09,6.191662590891513e-07,2.2e-06,0.0,0.0,0.0,5.1666666666666675e-06,3.5499999999999996e-05,0.0,4.956020609776195e-09,7.936369677606438e-05,7.934823713640071e-07,1.567787981977225e-07,9.383670475569618e-09,7.062957791958979e-07,0.0,2.4574732090546345e-09,7.262755194200768e-06,0.00012037270166079647,5.246171131797642e-07,1.0189156910200836e-05,6.027182308798729e-09,7.847412112888768e-06,1.4580393273685592e-08,0.0,7.229369331745212e-08,0.0,6.930826427061934e-08,2.5357031928154227e-07,0.0,4.172532846220227e-08,2.2123390865301318e-08,0.0,5.490010672864238e-05,0.0,0.0,0.0,0.0,1.6250000000000001e-06,5.5e-07,1.2e-07,0.0,0.0
1706,4.95725441648379e-08,2.5326996819785563e-06,6.498473733732421e-08,4.24576290315924e-08,0.0,8.313418398131489e-08,5.733458913986007e-09,1.5076790467511664e-06,0.0,4.914946418109269e-09,0.0,2.935829514732242e-07,0.0,1.3593215044238605e-05,9.988231275721254e-07,5.2713934499999075e-06,2.8161936955127332e-05,4.125339257500725e-08,1.0795912075423075e-07,3.4102244431518815e-07,5.564784772665072e-08,6.730031632936775e-07,5.440775989232602e-06,2.6692722952605307e-09,2.858394347120858e-06,0.0001507397662083219,0.0,7.861617388828433e-09,7.830152526366874e-09,5.682116235306012e-07,2.2399999999999997e-06,0.0,0.0,0.0,5.2e-06,3.56e-05,0.0,4.956020609776195e-09,9.276223655823352e-05,1.0456915171224473e-06,1.2048186245497812e-07,1.2330341446288782e-08,6.843306782197292e-07,0.0,2.4574732090546345e-09,8.340040884442196e-06,0.00012000720016658306,5.441061635532865e-07,9.619014170831569e-06,0.0,9.63657898215128e-06,9.681949971910139e-08,0.0,6.285139849840757e-08,0.0,8.69213694037236e-08,2.8598369945192257e-07,0.0,3.8444056319316844e-08,2.205647068162112e-08,0.0,5.34306740779097e-05,0.0,0.0,0.0,0.0,1.6499999999999999e-06,5.599999999999999e-07,1.24e-07,0.0,0.0
1707,4.88806252617126e-09,2.2178080598678207e-06,1.5669994267243836e-07,4.685218105545833e-08,0.0,8.476106952822907e-08,5.733458913986007e-09,1.6412395292978284e-06,0.0,4.914946418109269e-09,0.0,2.532930218584235e-07,0.0,1.258054713356874e-05,1.0787610449369822e-06,5.165456676487727e-06,2.844889396718437e-05,4.125339257500725e-08,1.2134368735213945e-07,3.185959209466611e-07,4.075302051376184e-08,6.50894167262907e-07,5.35493222741934e-06,2.6692722952605307e-09,2.5562002779874353e-06,0.00014700415860196308,0.0,7.861617388828433e-09,7.830152526366874e-09,5.254392240670671e-07,2.2799999999999998e-06,0.0,0.0,0.0,5.233333333333334e-06,3.57e-05,0.0,4.956020609776195e-09,8.947571872600488e-05,9.231105561216932e-07,1.3146824276840823e-07,7.3653992111693304e-09,7.339604966968441e-07,0.0,2.4574732090546345e-09,7.791750834128055e-06,0.00011120554180316893,5.697345142964747e-07,1.2999109653070004e-05,0.0,8.296893351403664e-06,9.681949971910139e-08,0.0,6.91580314285797e-08,0.0,8.195642716860415e-08,2.370212897062629e-07,0.0,4.064133233124981e-08,2.4253746693554083e-08,0.0,4.990704266154873e-05,0.0,0.0,4.674235347985294e-09,0.0,1.675e-06,5.699999999999999e-07,1.2799999999999998e-07,0.0,0.0
1708,1.4949938430066012e-08,2.2916529555264527e-06,1.694005377877212e-07,6.20682456542454e-08,0.0,8.746141461862017e-08,5.733458913986007e-09,1.6695482827344676e-06,0.0,4.914946418109269e-09,0.0,2.9127155747638813e-07,0.0,1.2027059191106154e-05,1.1619059461866397e-06,5.586458623188914e-06,2.794842631763978e-05,4.125339257500725e-08,1.2711412874669543e-07,3.045507363757289e-07,3.584533330475941e-08,6.537905587070522e-07,5.540426790113477e-06,2.6692722952605307e-09,2.671648384680988e-06,0.00014662218537913368,0.0,7.861617388828433e-09,7.830152526366874e-09,5.254392240670671e-07,2.32e-06,0.0,0.0,0.0,5.266666666666667e-06,3.5799999999999996e-05,0.0,1.5671394848482123e-08,9.516172784580184e-05,1.0209168936268855e-06,1.5668455739208704e-07,7.3653992111693304e-09,7.151308787050376e-07,0.0,2.4574732090546345e-09,8.04575113631602e-06,9.725529110125666e-05,5.544063697016099e-07,1.3390127410925093e-05,0.0,1.0348518636809395e-05,9.681949971910139e-08,0.0,8.449734778537277e-08,0.0,7.962583430704789e-08,2.600302642414525e-07,0.0,4.070295770272228e-08,3.934656054939621e-08,0.0,5.015250280848704e-05,0.0,0.0,4.674235347985294e-09,0.0,1.7e-06,5.8e-07,1.32e-07,0.0,0.0
1709,2.1128347071908138e-08,2.169409412999812e-06,1.767052977592292e-07,5.4490159685981e-08,0.0,9.72922032462163e-08,5.733458913986007e-09,1.6800248658910277e-06,0.0,4.914946418109269e-09,0.0,2.9605028879180803e-07,0.0,1.1726915545295924e-05,1.2181243716570731e-06,5.558795562267603e-06,3.0235185736923347e-05,4.125339257500725e-08,1.3076650873244944e-07,3.107456681813606e-07,4.820215058844367e-08,6.827527962676478e-07,5.5262875256240866e-06,0.0,2.6677797840030896e-06,0.000155202135959241,0.0,7.861617388828433e-09,7.830152526366874e-09,5.285284283879881e-07,2.36e-06,0.0,0.0,0.0,5.3e-06,3.59e-05,0.0,1.5671394848482123e-08,9.89711271748612e-05,1.0760420171404154e-06,1.5163250007991076e-07,7.3653992111693304e-09,7.182366061897483e-07,0.0,2.4574732090546345e-09,8.66921339236017e-06,9.6978028263298e-05,5.286159583712495e-07,1.3586334911711414e-05,3.089204320921064e-09,1.0208780882489269e-05,9.429347106301325e-08,0.0,9.854369206355581e-08,0.0,7.204774833878349e-08,2.535950532741741e-07,0.0,5.1660097659984265e-08,3.934656054939621e-08,0.0,4.975467111632627e-05,0.0,0.0,4.674235347985294e-09,0.0,1.725e-06,5.9e-07,1.36e-07,0.0,0.0
