Year,wisdom,genius,intellect,consciousness,intuition,imagination,soul,reasoning,judgment,discernment,algorithm,software,database,optimization,automation,computer,processor,artificial intelligence,computer program,data processing,machine learning,neural network,deep learning
1950,3.506368747243705e-05,1.458440783896349e-05,5.550790603929018e-06,2.6575941264523718e-06,2.372161425556063e-06,2.0283197072642285e-05,3.964742323188888e-05,5.076050601850936e-06,2.0283197072642285e-05,3.098989306336233e-07,0.0,7.29735131664736e-07,2.1801233977806077e-07,1.5001554859117253e-06,7.559487822024877e-07,4.0160985995519666e-06,4.4575396391385274e-07,2.9793845660131252e-08,0.0,5.488553382668059e-08,0.0,5.275046018690582e-09,8.249430428370295e-10
1951,3.573418059176861e-05,1.465849554488228e-05,5.615591970179392e-06,2.7157621273271274e-06,2.2621834022987035e-06,2.0150032686438583e-05,3.897454302984665e-05,4.874113926021614e-06,2.0150032686438583e-05,2.8829482223909423e-07,7.601782866347243e-08,1.3860044709885735e-06,0.0,1.6134815369183932e-06,7.23089615829553e-07,3.1528852170926357e-06,3.0467954049508136e-07,1.9502920617822566e-08,0.0,5.875605662998653e-08,1.6905154862635163e-08,2.851968222719252e-08,0.0
1952,3.447219184677068e-05,1.4117343064941485e-05,5.442353237345184e-06,2.8314410717570443e-06,2.317635977838336e-06,1.987917375869882e-05,3.963848046577005e-05,4.799263402147223e-06,1.987917375869882e-05,3.1655807369165674e-07,0.0,7.253646888857173e-07,5.1920363971925875e-08,1.6059862915127392e-06,7.701287054561087e-07,3.007727936421299e-06,3.039213799602585e-07,0.0,3.829125928984624e-08,1.313719694549226e-07,0.0,0.0,5.051506297463688e-10
1953,3.319381943849544e-05,1.5012224420184855e-05,5.328292298763902e-06,2.817824023017417e-06,2.239774674811274e-06,1.922765742399552e-05,4.004387261878649e-05,5.224204683213272e-06,1.922765742399552e-05,2.679583559975914e-07,0.0,9.147632603460138e-07,3.3926158089596535e-07,1.5106765492450684e-06,1.072289635914657e-06,4.663626305145051e-06,3.326440211959817e-07,2.1370109975271847e-09,2.1870282190735274e-07,2.477445676545546e-07,2.2388116917807565e-08,5.8376109736975665e-09,6.862308196812632e-09
1954,3.399479130195706e-05,1.3886035729412075e-05,5.298204866154568e-06,2.8795352393481485e-06,2.305406167466392e-06,2.0360683768185926e-05,3.834803384489535e-05,5.52013118243452e-06,2.0360683768185926e-05,3.081022451270102e-07,9.264716549009779e-08,0.0,2.9378240505725743e-07,1.4747137191375424e-06,7.100370116773349e-07,3.3123148154908536e-06,2.3458922588212841e-07,3.865903216977762e-08,1.0594727474572728e-07,3.6191959929078305e-07,0.0,1.228660667730577e-08,0.0
1955,3.484165687431921e-05,1.4286246023073914e-05,5.359526521891706e-06,3.129506548908776e-06,2.1106266537968723e-06,1.8554578105875635e-05,3.7150637635683696e-05,5.1332441888452474e-06,1.8554578105875635e-05,2.8946708311424073e-07,1.4863439908119493e-07,5.87189359630297e-08,3.2378833678808887e-08,1.7213604032351677e-06,8.941497333710867e-07,4.577405898642174e-06,3.1832210572220604e-07,1.0060719838942108e-08,1.3346793974619183e-07,3.3169261958917224e-07,0.0,0.0,1.6844316011395088e-08
1956,3.2770668369918364e-05,1.4104039589734042e-05,5.188390299134921e-06,3.488982695750928e-06,2.396877097547436e-06,1.975868358632211e-05,3.806008336064586e-05,4.832664448274252e-06,1.975868358632211e-05,2.995122026472029e-07,5.038825018681102e-08,3.846937642163411e-07,6.39255146914125e-08,1.7379356193022642e-06,9.361942942245299e-07,3.8617900660108625e-06,2.415323818009197e-07,4.480529539978881e-08,1.1074265432740676e-07,3.112001219159579e-07,6.238774064570622e-08,9.032361654660833e-09,0.0
1957,3.399313748261794e-05,1.342521132128546e-05,5.459609740129044e-06,3.360432153107216e-06,2.261996108068099e-06,1.888461142213779e-05,3.6766035991360655e-05,5.424933790027538e-06,1.888461142213779e-05,3.4557557472857935e-07,1.0866006526532446e-07,2.0104472489636373e-06,1.4231783841596283e-07,1.490527314770495e-06,1.016708100539979e-06,2.863434688994554e-06,3.7921013792424523e-07,2.7545883593244135e-08,3.514947748324221e-07,4.590024144439671e-07,5.985438450255499e-08,1.1954274357029958e-08,0.0
1958,3.401297733831916e-05,1.4708378516603119e-05,4.954394472335881e-06,3.237954599617655e-06,2.4144360270557484e-06,1.8680536596804544e-05,3.764387793668359e-05,5.097723685197725e-06,1.8680536596804544e-05,3.4591111267183103e-07,1.227553985431628e-07,1.6038498426692504e-06,2.853915066513488e-07,1.6295276448354889e-06,7.945567105680883e-07,4.846335020180537e-06,2.0650036159787422e-07,5.061570529485577e-08,3.8107126901610073e-07,7.458088609488651e-07,4.532158888896189e-08,2.8254822496723275e-08,0.0
1959,3.425516100771895e-05,1.4514100669568566e-05,4.965170406004904e-06,3.9376546006789385e-06,2.323851953667884e-06,1.9301652769614397e-05,3.602758315106055e-05,5.128844837982191e-06,1.9301652769614397e-05,3.362840588476008e-07,1.0946431336358954e-07,1.2416335313378777e-06,4.924212137645983e-07,1.94401807453726e-06,8.037087162401141e-07,4.713902400905447e-06,2.720383311939376e-07,4.3745993299895556e-08,3.826009373681527e-07,7.255428802849372e-07,2.1524968404575214e-08,1.2651524202979862e-08,9.317920227947955e-09
